customer_id,country,signup_date,customer_length,total_spent,transaction_count,avg_transaction_amount,avg_monthly_spent,days_since_last_transaction,first_transaction_before_signup
1,DK,2022-01-22,1478,1941.31,19,102.17421052631579,39.40412719891746,1931,True
2,FI,2021-12-22,1509,1692.05,17,99.53235294117647,33.639165009940356,1885,True
3,SE,2023-08-18,905,1286.59,13,98.96846153846153,42.64939226519336,1916,True
4,DK,2022-01-25,1475,2533.56,23,110.15478260869565,51.530033898305085,1908,True
5,DK,2019-09-26,2327,1452.62,15,96.84133333333332,18.727374301675976,1935,False
6,FI,2022-10-02,1225,1821.9299999999998,20,91.09649999999999,44.61869387755102,1894,True
7,SE,2019-10-02,2321,1574.06,16,98.37875,20.345454545454547,1931,False
8,SE,2019-03-29,2508,2754.07,24,114.75291666666668,32.943421052631585,1889,False
9,DK,2023-03-01,1075,1616.08,17,95.0635294117647,45.09990697674418,1885,True
10,NO,2023-04-13,1032,1653.63,15,110.242,48.070639534883725,1897,True
11,DK,2019-02-13,2552,1227.35,16,76.709375,14.428095611285267,1944,False
12,DK,2022-09-19,1238,2299.22,23,99.96608695652174,55.716155088852986,1891,True
13,DK,2019-07-12,2403,1959.12,18,108.83999999999999,24.458426966292134,1955,False
14,DK,2019-07-30,2385,1918.5,20,95.925,24.132075471698112,1888,False
15,FI,2023-07-31,923,1156.14,16,72.25875,37.577681473456124,1897,True
16,SE,2023-07-03,951,2046.55,19,107.71315789473684,64.55993690851734,1897,True
17,FI,2020-01-15,2216,2097.32,20,104.86600000000001,28.393321299638995,1883,True
18,FI,2022-12-17,1149,2127.1,21,101.29047619047618,55.5378590078329,1893,True
19,FI,2022-08-27,1261,2880.98,26,110.80692307692308,68.54036478984933,1901,True
20,DK,2020-03-16,2155,1587.1100000000001,15,105.80733333333335,22.094338747099773,1883,True
21,NO,2020-06-07,2072,2167.12,21,103.19619047619047,31.377220077220077,1892,True
22,SE,2021-12-05,1526,1845.88,20,92.29400000000001,36.28859764089122,1888,True
23,NO,2021-04-15,1760,2461.94,25,98.4776,41.96488636363637,1902,True
24,FI,2022-04-23,1387,2307.07,23,100.30739130434783,49.900576784426825,1893,True
25,FI,2020-08-12,2006,2527.86,24,105.3275,37.80448654037887,1889,True
26,NO,2020-01-31,2200,2272.43,23,98.80130434782608,30.98768181818182,1885,True
27,NO,2019-08-06,2378,2405.65,25,96.226,30.348822539949538,1910,False
28,NO,2022-08-02,1286,2072.15,25,82.88600000000001,48.33942457231726,1885,True
29,FI,2021-03-08,1798,1790.3600000000001,16,111.89750000000001,29.87252502780868,1895,True
30,FI,2023-03-24,1052,2323.27,24,96.80291666666666,66.25294676806082,1916,True
31,SE,2023-09-01,891,1310.02,13,100.77076923076923,44.10841750841751,1904,True
32,SE,2020-01-12,2219,1971.08,19,103.74105263157894,26.64821991888238,1907,False
33,FI,2019-02-25,2540,2020.74,22,91.85181818181819,23.867007874015748,1884,False
34,NO,2021-07-25,1659,2088.92,18,116.05111111111111,37.774321880650994,1938,True
35,NO,2023-12-01,800,2277.48,23,99.0208695652174,85.4055,1913,True
36,SE,2023-02-17,1087,1214.34,12,101.195,33.514443422263106,1921,True
37,FI,2019-09-08,2345,1669.06,17,98.17999999999999,21.352579957356074,1904,False
38,SE,2023-07-16,938,1680.99,17,98.88176470588235,53.76300639658849,1887,True
39,SE,2023-10-25,837,1313.0,13,101.0,47.06093189964158,1887,True
40,DK,2019-11-22,2270,1142.58,11,103.87090909090908,15.100176211453743,1893,False
41,DK,2020-12-24,1872,2111.45,22,95.975,33.837339743589745,1921,True
42,DK,2020-05-21,2089,1149.93,13,88.45615384615385,16.514073719483005,1901,True
43,NO,2021-08-21,1632,1089.21,11,99.0190909090909,20.022242647058825,1897,True
44,FI,2019-04-01,2505,2247.08,21,107.00380952380952,26.911137724550898,1906,False
45,FI,2021-01-25,1840,1664.1399999999999,16,104.00874999999999,27.132717391304343,1908,True
46,FI,2019-02-07,2558,1982.6599999999999,21,94.41238095238094,23.25246286161063,1944,False
47,FI,2021-11-30,1531,1701.9,18,94.55000000000001,33.34879163945134,1912,True
48,DK,2019-09-06,2347,2401.68,25,96.0672,30.69893481039625,1885,False
49,NO,2023-02-25,1079,1870.75,16,116.921875,52.01343836886005,1887,True
50,NO,2019-12-09,2253,1631.82,15,108.788,21.72862849533955,1958,False
51,DK,2019-11-24,2268,2090.42,21,99.54380952380953,27.651058201058206,1885,False
52,NO,2022-05-31,1349,2032.58,17,119.5635294117647,45.20192735359525,1903,True
53,DK,2023-06-09,975,1543.95,20,77.1975,47.50615384615385,1895,True
54,FI,2022-04-28,1382,1522.6399999999999,14,108.75999999999999,33.05296671490593,1892,True
55,DK,2023-11-10,821,2054.68,23,89.33391304347825,75.07965895249694,1894,True
56,FI,2023-12-03,798,2006.68,21,95.55619047619048,75.43909774436091,1893,True
57,FI,2021-02-25,1809,1361.35,14,97.23928571428571,22.576285240464344,1900,True
58,SE,2020-07-27,2022,1662.85,16,103.928125,24.6713649851632,1944,True
59,DK,2023-01-22,1113,2050.63,21,97.64904761904762,55.273045822102425,1921,True
60,SE,2021-03-20,1786,1500.48,15,100.032,25.204031354983204,1923,True
61,DK,2021-12-31,1500,2493.72,26,95.91230769230768,49.874399999999994,1885,True
62,DK,2020-07-07,2042,3008.31,28,107.43964285714286,44.196523016650346,1907,True
63,SE,2019-04-11,2495,1555.05,15,103.67,18.697995991983966,1899,False
64,SE,2021-12-14,1517,2635.8,26,101.37692307692308,52.12524719841793,1884,True
65,DK,2020-08-25,1993,1519.29,18,84.405,22.86939287506272,1912,True
66,NO,2019-12-18,2244,1802.63,17,106.03705882352942,24.09933155080214,1900,False
67,FI,2022-03-22,1419,2256.93,20,112.84649999999999,47.71522198731501,1926,True
68,SE,2019-05-17,2459,2072.98,19,109.1042105263158,25.290524603497357,1894,False
69,FI,2021-08-02,1651,2428.0,22,110.36363636363636,44.11871592973955,1885,True
70,NO,2022-10-02,1225,2282.55,23,99.2413043478261,55.89918367346939,1901,True
71,NO,2021-04-02,1773,2144.2599999999998,23,93.2286956521739,36.2818950930626,1888,True
72,NO,2019-02-01,2564,3254.78,30,108.49266666666668,38.08244929797192,1898,False
73,SE,2023-05-16,999,2345.54,24,97.73083333333334,70.43663663663663,1888,True
74,NO,2021-01-02,1863,2465.66,27,91.32074074074073,39.70466988727858,1892,True
